original_url,im_url,im_id,crop_box,crop_box_concept,im_name,im_description,labels,concepts,boxes,optional,box_statuses,box_sources,box_reasons,issue_types,vis_uri
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301023473IVORY_1.jpg?v=1749106686,https://vis.data.visenze.com/v1/image/original/e097f3a06dfe44ce88fdef335385291f,9ebaccf84f7f2229,,,Wardrobe White Solid Shirt,,,"skirt,top,earring,eyewear,shoe,bracelet","[198,415,543,912],[255,174,529,513],[421,131,452,170],[344,90,436,138],[231,915,434,1000],[480,505,522,539]","true,true,true,true,true,true","no_issue,no_issue,no_issue,no_issue,no_issue,human_drawn","model,model,model,model,model,human","["","","","","","","","","","",manual_bbox_added]","no_issue,no_issue,no_issue,no_issue,no_issue,no_issue",e097f3a06dfe44ce88fdef335385291f
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301050519OFFWHITE_1.jpg?v=1767893556,https://vis.data.visenze.com/v1/image/original/a0b760b0dfe5d096430e3743d83fa9a2,a511ddb7fa3c4de7,,,LOV Off-White Botanical Design Blouse,,,"top,earring,bottom,ring,ring,ring","[179,287,767,761],[435,252,487,321],[17,623,762,1023],[294,916,320,937],[338,903,366,917],[516,475,535,493]","true,true,true,true,true,true","no_issue,no_issue,no_issue,human_drawn,human_drawn,human_drawn","model,model,model,human,human,human","[""The person is clearly wearing multiple rings on their fingers and visible earrings on their ears. No other accessories from the target classes are clearly visible."",""The person is clearly wearing multiple rings on their fingers and visible earrings on their ears. No other accessories from the target classes are clearly visible."",""The person is clearly wearing multiple rings on their fingers and visible earrings on their ears. No other accessories from the target classes are clearly visible."",manual_bbox_added,manual_bbox_added,manual_bbox_added]","no_issue,no_issue,no_issue,no_issue,no_issue,no_issue",a0b760b0dfe5d096430e3743d83fa9a2
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301053742STONE_1_7ab5e49d-af70-4738-af2e-fcd76bdb19b8.jpg?v=1770806811,https://vis.data.visenze.com/v1/image/original/bb9ca3465d671ba02cdefbbecbd87041,af8c56c6155831f6,,,WES Formals Grey Self-Textured Slim-Fit Cotton Shirt,,,"top,bottom,belt","[113,239,572,855],[215,647,519,1019],[0,0,0,0]","true,true,true","no_issue,no_issue,type2_missing","model,model,model_missed","bracelets,earrings,or watches are visible."",""The image clearly shows a clothing belt worn around the waist with a visible buckle on the pants. No other accessories such as rings,bracelets,earrings,or watches are visible."",""The image clearly shows a clothing belt worn around the waist with a visible buckle on the pants. No other accessories such as rings,bracelets,earrings,or watches are visible."",""The image clearly shows a clothing belt worn around the waist with a visible buckle on the pants. No other accessories such as rings,bracelets,earrings,or watches are visible.""]","no_issue,no_issue,recall",bb9ca3465d671ba02cdefbbecbd87041
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/300995661GREY_1.jpg?v=1729617853,https://vis.data.visenze.com/v1/image/original/c39fe818c81324a8290bf952ee45b005,8b4c6a39ca30813a,,,WES Formals Grey Relaxed-Fit Mid-Rise Trousers,,,"top,bottom,bag,shoe,shoe,ring","[318,152,618,541],[342,472,558,918],[281,589,377,851],[421,877,510,979],[334,893,419,996],[0,0,0,0]","true,true,true,true,true,true","no_issue,no_issue,no_issue,no_issue,no_issue,type2_missing","model,model,model,model,model,model_missed","and there is a ring visible on the ring finger of their left hand. No other accessories like belt,bracelet,earring,eyewear,gloves,hair accessories,headwear,necklace,scarf,tie,or watch are clearly visible."",""The person is holding a brown bag clearly visible in their left hand,and there is a ring visible on the ring finger of their left hand. No other accessories like belt,bracelet,earring,eyewear,gloves,hair accessories,headwear,necklace,scarf,tie,or watch are clearly visible."",""The person is holding a brown bag clearly visible in their left hand,and there is a ring visible on the ring finger of their left hand. No other accessories like belt,bracelet,earring,eyewear,gloves,hair accessories,headwear,necklace,scarf,tie,or watch are clearly visible."",""The person is holding a brown bag clearly visible in their left hand,and there is a ring visible on the ring finger of their left hand. No other accessories like belt,bracelet,earring,eyewear,gloves,hair accessories,headwear,necklace,scarf,tie,or watch are clearly visible."",""The person is holding a brown bag clearly visible in their left hand,and there is a ring visible on the ring finger of their left hand. No other accessories like belt,bracelet,earring,eyewear,gloves,hair accessories,headwear,necklace,scarf,tie,or watch are clearly visible."",""The person is holding a brown bag clearly visible in their left hand,and there is a ring visible on the ring finger of their left hand. No other accessories like belt,bracelet,earring,eyewear,gloves,hair accessories,headwear,necklace,scarf,tie,or watch are clearly visible."",""The person is holding a brown bag clearly visible in their left hand,and there is a ring visible on the ring finger of their left hand. No other accessories like belt,bracelet,earring,eyewear,gloves,hair accessories,headwear,necklace,scarf,tie,or watch are clearly visible.""]","no_issue,no_issue,no_issue,no_issue,no_issue,recall",c39fe818c81324a8290bf952ee45b005
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/300996665NAVY_1.jpg?v=1731601502,https://vis.data.visenze.com/v1/image/original/f167e686b10808e8868734c0ecf2f3cf,19d4bd0b68af2374,,,WES Formals Navy Slim-Fit Cotton Shirt,,,"top,bottom,outerwear,belt","[152,273,618,749],[229,693,584,1022],[92,847,346,1023],[260,698,538,781]","true,true,true,true","no_issue,no_issue,no_issue,human_drawn","model,model,model,human","["","","","","","",manual_bbox_added]","no_issue,no_issue,no_issue,no_issue",f167e686b10808e8868734c0ecf2f3cf
https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300886650_060_4.jpg?v=1645091334,https://vis.data.visenze.com/v1/image/original/8788f3da9660c2f2373e037b8f34890f,c4bf6d1a36ace362,,,Diza Curves Blue Floral-Patterned Straight Kurta,,,"ethnic_wear,shoe,shoe,ring","[247,168,638,858],[523,807,624,964],[261,917,410,1016],[0,0,0,0]","true,true,true,true","no_issue,no_issue,no_issue,type2_missing","model,model,model,model_missed","belt,bracelet,earring,eyewear,gloves,hair_accessories,headwear,necklace,scarf,tie,or watch are visible."",""The image clearly shows a ring on the person's finger. No other accessories such as bag,belt,bracelet,earring,eyewear,gloves,hair_accessories,headwear,necklace,scarf,tie,or watch are visible."",""The image clearly shows a ring on the person's finger. No other accessories such as bag,belt,bracelet,earring,eyewear,gloves,hair_accessories,headwear,necklace,scarf,tie,or watch are visible."",""The image clearly shows a ring on the person's finger. No other accessories such as bag,belt,bracelet,earring,eyewear,gloves,hair_accessories,headwear,necklace,scarf,tie,or watch are visible."",""The image clearly shows a ring on the person's finger. No other accessories such as bag,belt,bracelet,earring,eyewear,gloves,hair_accessories,headwear,necklace,scarf,tie,or watch are visible.""]","no_issue,no_issue,no_issue,recall",8788f3da9660c2f2373e037b8f34890f
https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300863799_071_4.jpg?v=1629491478,https://vis.data.visenze.com/v1/image/original/59ddae6ef4ac26abb7262b025bcd1697,7a143caa20dc1df7,,,Bombay Paisley Light Pink Floral Crop-Top,,,"bottom,top,shoe,ring","[150,395,572,902],[308,160,555,453],[227,892,387,1018],[386,536,394,548]","true,true,true,true","no_issue,no_issue,no_issue,human_drawn","model,model,model,human","["","","","","","",manual_bbox_added]","no_issue,no_issue,no_issue,no_issue",59ddae6ef4ac26abb7262b025bcd1697
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/300973259BLUE_1.jpg?v=1712830578,https://vis.data.visenze.com/v1/image/original/91dc9e2f158ede6336c02e9b00d85ea9,b71fe4edd7b22fe7,,,WES Formals White Checked Relaxed Fit Shirt,,,"top,belt","[72,252,752,1009],[202,806,572,873]","true,true","no_issue,human_drawn","model,human","["","",manual_bbox_added]","no_issue,no_issue",91dc9e2f158ede6336c02e9b00d85ea9
https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300843845_069_4.jpg?v=1610001372,https://vis.data.visenze.com/v1/image/original/2fb00874342edaa01d038f7ec371729b,d1020959b3427815,,,Bombay Paisley Olive Embroidered A-line Dress,,,"dress,shoe,shoe,earring,ring,ring","[232,158,557,842],[419,904,596,1011],[175,897,331,1019],[344,100,359,116],[465,527,477,535],[482,524,493,534]","true,true,true,true,true,true","no_issue,no_issue,no_issue,human_drawn,human_drawn,human_drawn","model,model,model,human,human,human","["","","","","","",manual_bbox_added,manual_bbox_added,manual_bbox_added]","no_issue,no_issue,no_issue,no_issue,no_issue,no_issue",2fb00874342edaa01d038f7ec371729b
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301064892LTBLUE_1.jpg?v=1776846037,https://vis.data.visenze.com/v1/image/original/612a8b75bde0e3e3ae2404f283db9369,ac3ddcc3e882fab6,,,Gia Blue Embellished Cotton T-Shirt,,,"top,bag,earring,ring","[125,263,633,907],[188,900,318,1022],[447,226,474,258],[224,902,238,917]","true,true,true,true","no_issue,human_drawn,human_drawn,human_drawn","model,human,human,human","["","",manual_bbox_added,manual_bbox_added,manual_bbox_added]","no_issue,no_issue,no_issue,no_issue",612a8b75bde0e3e3ae2404f283db9369
