original_url,im_url,im_id,crop_box,crop_box_concept,im_name,im_description,labels,concepts,boxes,optional,box_statuses,box_sources,box_reasons,issue_types
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301053848001_5_860ceb5a-8339-4108-a096-0dc6fed83c85.jpg?v=1765946272,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/aad910159d9b193e.jpg?se=2026-08-19T03%3A46%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=pdmnr7A%2BFgfSsHR2nGv8UznL%2BT2sf12hh2Pkd148yqE%3D,edb737a6839b4be9,,,Classic Comet Solitaire Lab Diamond Stud Earring,,,"earring,outerwear","[492,284,516,311],[0,385,764,1021]","true,true","fp_incorrect,no_issue","model,model","[""must_include_category"", ""must_include_category""]","precision,no_issue"
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301061015001_1.jpg?v=1775221335,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/f806dc1a59c8a147.jpg?se=2026-08-19T03%3A46%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=c7JJ25MQ/jVpL1TAQ3Vr6zYXAeO0qoYK4j03Y8RtyVw%3D,da17fa788f019c67,,,Lab Diamond Drop Earrings,,,earring,"[331,441,373,516]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/WSPOMEJEWELLERTY_BR_2025_04_1812969.jpg?v=1766396457,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/f135394d0c9557d5.jpg?se=2026-08-19T03%3A46%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=eB55IfZQsi08plRBq2826yOH2SLSI%2BltZPcxVjkp/qs%3D,7a5c24a5d07183f1,,,Gold Multilayer Rose V Ring,,,ring,"[199,365,284,429]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301053846001_4.jpg?v=1765946158,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/a8682316688aa6ff.jpg?se=2026-08-19T03%3A46%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=oaMRT4gVRHjbn2AVRJ7PGlkOT52eBjREXJxwibu4n%2Bs%3D,15155ef72e552022,,,Classic Lab Diamond Tennis Bracelet,,,"bracelet,necklace,earring,ring","[318,714,658,800],[0,490,313,1013],[52,175,82,203],[542,232,628,297]","true,true,true","fp_incorrect,fp_incorrect,fp_incorrect","model,model,model","[""must_include_category"", ""must_include_category"", ""must_include_category""]","precision,precision,precision"
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/WSPOMEJEWELLERTY_BR_2025_04_1813219_d4dc81c5-41f2-497d-a1ed-eed3aade6811.jpg?v=1766396361,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/7ba040172cd668c5.jpg?se=2026-08-19T03%3A46%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=s2E/boWSGO8/kQj2KrPrtyumtVbAWTBty9sDvufpaVc%3D,84b5c4be3b64bb62,,,Gold Floral Solitaire Ring,,,ring,"[351,507,437,542]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301028721001_4.jpg?v=1766388813,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/a457b59f6f371e51.jpg?se=2026-08-19T03%3A46%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=jxRNe/hRNjgnZA6NFHyb3LLnSo0iiU09ZLLxa5ovevk%3D,808f825bcb86e50a,,,Sculpted Lab Diamond Ring,,,"ring,necklace","[458,623,505,681],[314,673,657,927]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301046981001_4.jpg?v=1766388591,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/96433edb24a53a22.jpg?se=2026-08-19T03%3A46%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=bGTAFgOaxZeYLKV8RJndRBECOrxeio2IoJyR/0yMn80%3D,45381cd30d146d69,,,Emerald Cut Half Eternity Gold Plated Lab Diamond Ring,,,"necklace,ring","[218,239,642,579],[374,634,406,716]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301061014001_1.jpg?v=1775221333,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/7a4fc9de8d8f6726.jpg?se=2026-08-19T03%3A46%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=q3cItNiESgEVhmcnqACgf1qWS8YkgOGg3Uiz1esAGJQ%3D,3ee167894d25d1f6,,,Oval Halo Lab Diamond Stud Earrings,,,earring,"[582,319,626,376]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301046984003_4_a1440284-87bc-4757-b772-313659e8ec6b.jpg?v=1766385208,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/3393a9f87b1bd205.jpg?se=2026-08-19T03%3A46%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=QPI8448asJVcfVIas3KjGr/w8vkRp83IwbcBYYHY%2BDM%3D,3f7e82001d1d3503,,,Halo Flower-Style Lab Diamond Solitaire Ring,,,ring,"[434,606,542,686]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/POMELLODAY115369_9550fee8-0615-4c40-af67-5a59bcd1da87.jpg?v=1766143708,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/ddcd93c679403d3a.jpg?se=2026-08-19T03%3A46%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=iQaLyQlNap3dhbm4rVEYY2j9U7QMNdNMGWU2CmZ8nXg%3D,64467c3f83573948,,,Edgy Lab Diamond Solitaire Ring,,,"ring,ring","[248,507,321,626],[517,865,625,948]","true,true","fp_incorrect,fp_incorrect","model,model","[""must_include_category"", ""must_include_category""]","precision,precision"
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301061030001_4.jpg?v=1770131547,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/55c9ee7789b764b5.jpg?se=2026-08-19T03%3A46%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=xBUQmtdweQknljIJRYKsXVeMlsWqWLqY8ooJISsDjtE%3D,25f7f3c8c23f4e48,,,Yellow Lab Diamond Harmony Ring,,,"ring,earring","[532,496,626,613],[678,207,767,284]",true,fp_incorrect,model,"[""must_include_category""]",precision
